UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
461865,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",11500,"R",0,"R",11500,"R",0,"R",0,"R",1035285,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",1035285,"R",406544,"R",3510,"R",300264,"A",,"R",0,"R",0,"R",710318
461874,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13000,"R",0,"R",0,"R",0,"R",0,"R",68673,"A",,"R",202300,"R",283973,"R",93919,"R",5470,"R",67282,"A",,"R",0,"R",22988,"R",189659
461883,"R",2993129,"R",1875349,"R",1117780,"R",2993129,"R",242151,"R",1458201,"R",0,"R",-1216050,"R",1006750,"R",1327080,"R",0,"R",1117780,"R",0,"R",0,"R",0,"R",26940,"R",26940,"R",0,"R",0,"R",203173,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38978,"R",242151,"R",393601,"R",169183,"R",868477,"R",0,"R",26940,"R",0,"R",1458201
461892,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",375477,"R",0,"R",375477,"R",0,"R",0,"R",1027871,"R",0,"Z",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",1027871,"R",620422,"R",0,"R",264829,"A",,"R",0,"R",33412,"R",918663
461908,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",391882,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",391882,"R",188940,"R",133875,"R",0,"A",,"R",0,"R",0,"R",322815
461926,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",35489,"R",0,"R",35489,"R",35489,"R",0,"R",489388,"R",0,"R",35489,"R",0,"R",0,"R",118033,"A",,"R",0,"R",642910,"R",232630,"R",0,"R",194284,"A",,"R",0,"R",206192,"R",633106
461935,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",49432,"R",0,"R",0,"R",0,"R",0,"R",19141,"A",,"R",0,"R",68573,"R",17754,"R",0,"R",48899,"A",,"R",0,"R",0,"R",66653
461944,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",309372,"R",0,"R",0,"R",0,"R",0,"R",78255,"A",,"R",0,"R",387627,"R",371798,"R",0,"R",0,"A",,"R",0,"R",0,"R",371798
461953,"R",107240,"R",35358,"R",71882,"R",107240,"R",109292,"R",171600,"R",62308,"R",0,"A",,"A",,"R",71882,"R",71882,"R",28925,"R",0,"R",0,"R",0,"R",28925,"R",2280,"Z",0,"R",31794,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",77498,"R",109292,"R",48871,"R",0,"R",16000,"R",0,"R",0,"R",106729,"R",171600
461962,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3089967,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",3089967,"R",2100000,"R",0,"R",505050,"A",,"R",0,"R",490164,"R",3095214
